编号,中文,英语,定义,注释
4.6.8,发信机构,transmitter mechanism,利用机械触点、磁激、光电、电阻等形式将转速转换成信号输出的机构。,
4.6.9,尾翼,tail fin,装在仪器尾部、使仪器在水下能平衡水平位置和迅速对准水流并保持稳定的部件。,
4.6.10,悬挂机构,suspension mechanism,测验时，用来悬吊流速仪，在水流作用下能自动对准流向的机构。,
4.6.11,流速仪检定,current meter calibration,建立流速仪转子的旋转速率与水流速度之间对应关系的全部作业。,
4.6.11.1,起转速度,starting velocity,使转子开始连续转动的最低水流速度。,
4.6.11.2,临界速度,critical velocity,流速仪检定曲线图中，低速曲线部分过渡到直线部分的转折点处的水流速度。,
4.6.11.3,检定速度范围,calibration velocity range,从临界速度开始到大于测速范围上限值的速度范围。,
4.6.11.4,各流速级平均相对误差,mean relative error of every velocity stage,各流速分段的相对误差的平均值。,
4.6.11.5,旋转试验,spin test,在不受气流影响下，使流速仪转子旋转，检查转子是突然停止还是逐渐缓慢停止的试验。,
4.6.11.6,信号试验,signal test,缓慢地转动流速仪转子，检查转子转动圈数并和计数器计数相比较的试验。,
4.6.12,流向仪,flow-direction meter,测量水流运动速率和水流流动方向的仪器。,
4.6.12.1,转子式流速流向仪,rotating-element flow-direction meter,应用转子式流速仪测量流速，同时带有流向传感器测量仪器所在点流向的仪器。,
4.6.12.2,声学多普勒流速流向仪,acoustic Doppler flow-direction meter,,注：主要包括走航式多普勒剖面流速仪、部分声学多普勒点流速仪。
4.6.12.3,电磁流速流向仪,electromagnetic flow-direction meter,,
4.6.12.4,电子罗盘流向仪,digital compass flow-direction meter,应用电子数字式罗盘测量水下流向的仪器。,
4.6.12.5,漂浮式流向器,float-type flow-direction meter,应用牵引式漂浮物观测水面流向的设施。,
4.6.13,浮标,float,受流体浮托漂浮于水流表层或水下用以测定水流速度的人工或天然漂浮物。,
4.6.13.1,水面浮标,surface float,漂浮于水流表层用来测量水面流速的人工或天然漂浮物。,
4.6.13.2,小浮标,small float,在流速仪无法施测的浅水中测量水流速度的小型人工浮标。,
4.6.13.3,水下浮标,subsurface float,,注：该浮标被水流拖曳作用最大的部分位于水面以下。
4.6.13.4,双浮标,double float,由上下二个以细线相连的浮标组成，上浮标起浮托和标志作用，下浮标位于水面以下， 用来测定水面以下一定水层水流速度的浮标。,
4.6.13.5,中泓浮标,midstream float,用来施测河道主流部分水面最大流速的浮标。,
4.6.14,方向标,vane,用测杆安装流速仪测流时，装在测杆上对准水流的装置。,
4.6.15,偏角器,deflection angle indicator,在进行水文测验时用来测量钢丝绳的偏角器具。,
4.6.16,流量计,flow meter,测量单位时间内通过某一断面水流体积的仪器。,
4.6.16.1,管道流量计,pipe flow meter,测量管道单位时间内通过某一断面水流体积的仪器。,
4.6.16.2,文杜里流量计,Venturi flow meter,通过量测收缩管段与进口管道之间的压差来推算管内流量的一种装置。,
4.6.16.3,堰槽流量计,flow meter by weir and flume,利用标准型式的测流建筑物（如薄壁堰、巴歇尔槽）和其比较稳定的水位流量关系来测 量水位、推算流量的仪器。,
4.6.16.4,电磁流量计,electromagnetic flow meter,利用电磁流速仪，通过测量过水断面上的平均流速和水深来计算流量的仪器。,
4.6.16.5,时差法超声波流量计,ultrasonic flow meter by time difference method,声学时差法管道流量计 acoustic pipe flow meter by time difference method          利用超声波在流动的水中顺流传播与逆流传播的时间差来计算水流速度，再推算流量的仪器。,
4.6.16.6,多普勒超声流量计,Doppler ultrasonic flow meter,声学多普勒管道流量计 acoustic Doppler pipe flow meter 利用多普勒频移与流速成正比的原理来测量水流速度，再计算流量的仪器。,
4.6.16.7,流速仪流量计,flow meter by current meter,应用转子式流速仪测量固定过水断面流速，再计算流量的仪器。,
4.6.17,水表,water meter,计量管道输水量的仪器。,注：一般只有机械数字显示功能。
4.6.18,恒定水位槽,constant level tank,,注：该容器可以维持液位恒定，以保证注入溶质与流出水量保持一致。
4.6.19,浮动虹吸管,floating siphon,在浓缩示踪剂溶液液面上漂浮的虹吸管。,注：由于虹吸管的进出流管口落差恒定，可以基本保证示踪剂溶液等速率流出。
4.6.20,示踪剂,tracer,,注入水流中的一种离子、化合物或放射性物质，以跟踪水流中某种成分的变化过程。
4.6.20.1,放射性示踪剂,radioactive tracer,,注：一般是γ 射线或β 粒子的发射物。
4.6.20.2,化学示踪剂,chemical tracer,主要是各种盐类，其含量可以用相应的水质检测方法测量。,
4.6.20.3,荧光示踪剂,fluorescent tracer,主要是一些荧光染料，用特殊的灯或其它激发荧光的装置，可以激发与荧光示踪剂浓度有关的荧光强度。,
4.6.20.4,示踪剂弥散,dispersion of a tracer,因流速变化、湍动以及扩散速度导致溶质团或悬移质团在水中散布的过程。,注：在河流中，弥散过程发生在水柱的垂向，河道断面的横向以及水流方向的纵向。
4.6.20.5,示踪剂弥散系数,dipersion coefficient of a tracer,表征流水消散初始出现在局部位置的示踪剂溶质的能力的系数。,
4.6.20.6,示踪剂回收率,tracer recovery ratio,在河流中采集的水样中回收到的示踪剂质量与注入示踪剂质量的比值。,
4.6.21,马利奥桶,Mariotte vessel,盛放浓缩示踪剂溶液的专门密封容器。,注 1：在液体流出的过程中，可以基本保证内部压力不变，从而使示踪剂溶液基本等速率流出。注 2：马利奥桶常用于其他需要对水流恒压恒流的试验。
4.7.1,河床质采样器,bed material sampler,采集江河、湖泊、水库、渠道底部，地表层 10cm 以内土质样品的仪器。,
4.7.2,推移质采样器,bed load sampler,采集江河及其它流动水体中沿河底移动的砂石、砾石及卵石等泥沙样品的仪器。,
4.7.2.1,网式推移质采样器,basket-type bed load sampler,由金属或尼龙丝网和构架组成的采集卵石、砾石推移质的采样器。,
4.7.2.2,沙质推移质采样器,soil bed load sampler,用于采集沙质推移质的采样器。,
4.7.2.3,卵石推移质采样器,pebble bed load sampler,,
4.7.2.4,压差式采样器,pressure-difference sampler,由扩散口门、采样袋和构架组成的采集沙质推移质的采样器。,
4.7.3,悬移质采样器,suspended sediment sampler,采集江河及其它流动水体中悬移质泥沙水样的仪器。,
4.7.3.1,瞬时式悬移质采样器,instantaneous suspended sediment sampler,采集江河及其它流动水体等过水断面中预定测点极短时间间隔内悬移质泥沙水样的仪 器。,
4.7.3.1,拉式采样器,cord drive horizontal sampler；drawing type sampler,,
4.7.3.2,锤击式采样器,hammer drive horizontal sampler；hammer blow type sampler,固定在铅鱼上，用悬索将铅鱼放至预定测点，操纵击锤关闭口门的瞬时式采样器。,
4.7.3.4,积时式悬移质采样器,time-integrated type suspended sediment sampler,采集江河及其它流动水体等过水断面中预定测点某一时段内悬移质泥沙水样的仪器。,
4.7.3.5,皮囊式采样器,collapsible sampler,借助柔性较好的橡皮囊容器以传导和调整器内外压力使其平衡的积时式悬移质采样器。,
4.7.3.6,瓶式采样器,bottle type sampler,以瓶作盛水容器并配置进水管和排气管的积时式悬移质采样器。,
4.7.3.7,单舱调压式采样器,single-chamber surge type sampler,利用测点处水体静压力压缩空气，实现水样舱内外压力平衡，用单一的水样舱的积时式 悬移质采样器。,
4.7.3.8,多舱调压式采样器,multi- chamber surge type sampler,利用测点处水体静压力压缩空气，实现水样舱内外压力平衡，用多个水样舱分别采集不 同垂线的积时式悬移质泥沙水样的采样器。,
4.7.3.9,泵式采样器,pumping sampler,具有相应进出水口，并由一个泵系统构成的悬移质采样器。,
4.7.4,光电测沙仪,photoelectric sediment concentration meter,利用光电效应来测定颗粒较细、粒径均匀、含沙量较小的浑浊水流的含沙量的测验仪器。,
4.7.5,振动式测沙仪,vibrational sediment concentration meter,利用振动原理和电子技术，测定水体中悬移质含沙量的测验仪器。,
4.7.6,同位素测沙仪,radioisotope sediment concentration meter,根据放射性同位素伽玛射线通过不同含沙量的浑液时，其强度有不同程度衰减的原理来 测定含沙量的测验仪器。,
4.7.7,超声波测沙仪,ultrasonic sediment concentration meter,利用超声波穿过含沙量不同的水体，其强度衰减不同的原理来测量含沙量的测验仪器。,
4.7.8,测流取沙综合仪,multipurpose sampler,具有同时测量流速、水深、采集泥沙水样等功能的仪器。,
4.7.9,颗粒分析仪器,grain-size analysis meter,分析泥沙水样中颗粒级配的仪器设备。,
4.7.9.1,光电颗粒分析仪,photoelectric particle size meter,利用光线通过含沙浑液时，其光强减弱程度与泥沙浓度的关系，直接在浑液中测出小于某粒径沙重百分数的仪器。,
4.7.9.2,超声波粒度分析仪,ultrasonic particle size meter,利用不同粒径泥沙对相应频率超声波的衰减性能不同，测量泥沙颗粒直径分布的仪器。,
4.7.9.3,激光衍射粒度仪,laser-diffraction particle size meter,利用激光衍射原理，通过测量散射光的能量分布来测量泥沙颗粒直径分布的仪器。,注：激光照射到颗粒样品后，发生衍散射现象，散射角与颗粒直径成反比关系，散射光的能量分布与；颗粒直径的分布直接相关，通过测量散射光的能量分布就可以得到泥沙颗粒的直径分布。
4.7.9.4,消光法光电颗分仪,photoelectric particle size meter,应用消光法原理直接在浑液中测出小于某粒径沙重百分数的仪器。,
4.7.9.5,分析筛,sieve,测定沙样的粒径及各粒径组的干沙质量占总干沙质量百分数的设备。,注：是一组以筛孔大小自上而下相互套合叠放的筛子。
4.7.9.6,沉降管,sedimentation tube,,注：属泥沙颗粒分析的多项设备中的一个。
4.7.9.7,粒径计,settling tube meter,采用规定长度和内径的玻璃管，使泥沙在管内清水中静水沉降，以测定各粒径组容积干 沙质量占总干沙质量百分数的设备。,
4.7.9.8,比重计,hydrometer,用来测定液体密度的一种浮动式仪器。,
4.7.9.9,吸管,pipette,用于吸管法作颗粒分析的液管。,注：为标准容积的玻璃质大肚型的直管。
4.7.10,分沙器,siltometer；silt divider,用作颗粒分析沙重或浓度要求的均分沙水样设备。,
4.7.11,水样舱,water sample chamber,,
4.7.12,有效容量,effective cubic content,,注：取水样舱体积的 70%～80%。
4.7.13,最大取样容量,maximum sample cubic content,,
4.7.14,调压舱,surge chamber,为消除突然灌注现象而设置的能使水样舱内的空气压力与器外压力平衡的密封空舱。,
4.7.15,比重瓶,pycnometer,具有固定容积，用称重法测量液体比重的专用瓶。,
4.8.1,地下水采样泵,groundwater sampling pump,,
4.8.1.1,气囊式采样泵,bladder sampling pump,用压缩空气作动力，依靠挤压气囊的方式抽取地下水水样的设备。,
4.8.1.2,气动活塞式采样泵,gas-driver piston sampling pump,用压缩空气作动力，驱动活塞运动抽取地下水水样的抽水泵。,
4.8.1.3,气动压水泵,gas displacement pump,连续地将水体用压缩空气机械提升方法输送到地面的地下水采样泵。,
4.8.1.4,惯性提水泵,inertial–lift pump,一根末端装有自动单向底阀的水管，很快地上下连续提动水管，利用水的惯性使水样提 升、流出的设备。,
4.8.1.5,转动式蠕动泵,rotary peristaltic pump,利用旋转转筒边缘的滚轴，挤压柔性软管，提升水体，取得小流量水样的抽吸泵。,
4.8.2,地下水采样器,groundwater sampler,,
4.8.2.1,贝勒管,Bailers,一种通用的管状地下水采样器。,注：上下两端或只在下端有自动开关的单向球阀，控制地下水的进出，保证采到要求深度处的地下水；水样。
4.8.2.2,锤击式地下水采样器,hammer drive sampler,用重锤撞击关闭采样容器的地下水采样设备。,
4.8.2.3,贯入式地下水采样器,drive-point sampler,直接压入含水层，让地下水通过采样器外壳上的通孔进入采样器内部的采样设备。,
4.8.3,地下水位计,groundwater stage gauge,测量观测井（孔）中地下水位变化过程的仪器。,
4.8.3.1,浮子式地下水位计,float-type groundwater gauge,用于地下水位测量的浮子式水位计。,
4.8.3.2,压力式地下水位计,pressure-type groundwater gauge,,
4.8.3.3,悬锤式地下水位计,wire weight groundwater stage gauge,人工收放悬索，利用声、光信号控制悬锤接触水面，测量地下水位变化的仪器。,
4.8.3.4,跟踪式地下水位计,tracking-type groundwater stage gauge,,
4.8.4,测盅,measuring cup,一种简单的地下水位测量器具具。,注：连接在测绳上的酒盅型测盅，撞击接触水面时发出声响，由此判别测量地下水面位置。
4.8.5,地下水位测尺,wire weight gauge for groundwater,用于测量地下水位的悬锤式水位计。,
4.8.6,钢卷尺水痕法,groundwater level measurement using a graduted steel tape,观察地下水面在放入测井中的钢卷尺上形成的水痕，从而读出地下水埋深的地下水位测 量方法。,
4.8.7,压力式测量地下水位方法,groundwater level measurement using an air line,应用压力式水位测量原理，人工使用通气管和简单压力测量仪表测量地下水位的方法。,
4.8.8,地下水流速流向仪,velocity and flow direction meter of groundwater,,
4.8.9,洗井设备,well purging device,,注：采样洗井设备是在地下水水样采取和水质监测前，清洗测井的抽水设备。
4.8.10,地下水水温测量仪,groundwater temperature meter,可以直接测量测井中地下水水温的仪器。,
4.8.11,地下水监测系统,monitoring system of groundwater,用于地下水监测参数的数据自动采集传输系统。,
4.8.12,入渗仪,infiltrometer,测量土壤水入渗速度的设备。,注：常用的是单环和双环入渗仪。
4.8.13,土壤水分测定仪,soil moisture content analyzer,测定土壤水分含量的仪器。,
4.8.13.1,中子土壤水分测定仪,neutron soil moisture gauge,根据中子散射和快中子慢化原理，用快中子源所制做的测定土壤水分的仪器。,
4.8.13.2,时域反射仪,time domain reflectometry,利用电磁波在土壤中的传播速度与土壤含水量的关系来测定土壤水分的仪器。,
4.8.13.3,张力计式土壤水分测定仪,tensiometer-type soil moisture gauge,将充水的多孔管头或杯埋在土壤中的适当位置，利用压力传感器和张力计相配合的方法来测量土壤水吸力，通过土壤水势测定土壤含水量的仪器。,
4.8.13.4,微波土壤水分测定仪,microwave soil hydrometer,利用土壤水分对微波传输影响的原理，测量土壤湿度的仪器。,注：微波土壤水分测定仪分为时域反射土壤含水量计、频域反射土壤含水量计、时域传输土壤含水量；计、电阻法土壤水分测定仪等。
4.8.14,土壤温度计,soil temperature meter,,
4.9.1,冰花尺,frazil slush ruler,,
4.9.2,冰花采样器,frazil slush sampler,在水中采集冰花并测量冰花厚度的仪器。,
4.9.3,冰网,ice basket,采集水内冰专用的金属网罩。,
4.9.4,冰镐,ice pick,人工錾冰孔的工具。,
4.9.5,冰钻,ice drill,在冰上钻孔的工具。,
4.9.5.1,机动冰钻,motor-driven ice drill,,
4.9.5.2,电动冰钻,electric ice drill,,
4.9.5.3,冰穿,ice cutter,冰锥 ice cone 人工以撞击方式在冰面上穿孔的尖锥状工具。,
4.9.6,量冰尺,ice ruler,测量冰厚的专用测尺。,
4.9.7,冰厚仪,ice thickness meter,能自动测量封冻冰厚、岸冰或冰块厚的仪器。,
4.9.7.1,超声波冰厚仪,ultrasonic ice thickness meter,,
4.9.8,冰下流速仪,ice current meter,体积较小，便于放入冰上测流孔内的转子式流速仪。,
4.9.9,冰孔,ice aperture,,
4.10.1,溶解气体采样器,dissolve gas sampler,采取一定水层深度的含氧量的采样器。,
4.10.2,杠杆式水质采样器,lever type water quality sampler,,
4.10.3,比例采样器,rateable sampler,采集的水样量随时间和流量成一定比例，使其任一时段所采集的混合水样的污染物浓度 能反映该时段的平均浓度的专用自动水质采样器。4.10.4 污水采样器 sewage sampler 适用于污水河道的水样采集器。,
4.10.5,便携式水质监测仪,portable water quality monitor,可随身携带，并能在现场快速测量和分析水质参数的仪器。,
4.10.6,水质自动监测系统,automatic water quality monitoring system,按照预定功能，对指定水体水质参数自动进行测量、分析处理和显示记录的成套设备。,
4.11.1,水文自动测报系统,automatic system of hydrological data acquisition and,transmission 水情自动测报系统 水文遥测系统 应用传感、遥测、通信、计算机和网络技术，完成流域或测区固定及移动站点的水文要 素的实时采集、传输和处理的信息系统。,注：该系统由各种传感器、通讯设备和计算机等装置组合而成。
4.11.1.1,遥测站,telemetry station,实施远方数据采集和发送的水文测站。,注 1：遥测站分为雨量遥测站、水位遥测站以及其它水文参数的遥测站。；注 2：一个遥测站可以采集和发送一个水文参数，也可以采集和发送多个水文参数。
4.11.1.2,中继站,relay station,用于转发（直接或再生）中心站的遥控指令和遥测站的数据信号的中转站。,注 1：中继站是为解决因路径损耗太大、信号微弱或地形影响，在遥测站与中心站之间设立的。；注 2：中继站分为再生中继站与直接中继站等。
4.11.1.3,再生中继站,active relay station,在中继通信中，能接收信号，加以放大、整形、存贮、处理，然后转发出去的中继站。,
4.11.1.4,直接中继站,passive relay station,在中继通信中，只能将信号反射到下一站，而不能对信号进行放大、整形的中继站。,
4.11.1.5,集合转发站,gather and transmit station,限定系统中，具有接收若干个遥测站的数据并合并传送至某中心站的功能的数据中转站 或分中心。4.11.1.6 中心站 center station 水文自动测报系统中负责实时数据采集、处理和发布水文预报的总控制中心。,
4.11.1.7,测区,measurement region,水文自动测报系统所覆盖的区域。,
4.11.2,自报式系统,self-reporting system,在遥测站设备控制下，当被测水文参数发生额定的增减变化或按设定时间间隔，自动向中心站发送所采集的数据的水文自动测报系统。,注：该系统中所有的遥测站又称为自报站。
4.11.3,应答式系统,polling-answer back system,由中心站主动发出指令，定时或随时呼叫遥测站，遥测站响应中心站的查询并实时采集水文数据发送给中心站的水文自动测报系统。,
4.11.4,混合式系统,mixed system,由自报式遥测站和查询—应答式遥测站混合组成的水文自动测报系统。,
4.11.5,呼叫,call up,中心站向遥测站发送指令，包括巡测指令和召测指令。,
4.11.5.1,单呼,individual calling,中心站送出一个选叫信号，只能呼叫某一个预定的遥测站，遥测站向中心站发送数据。,
4.11.5.2,全呼,general calling,中心站送出一个预先规定的选叫信号，能呼叫全部遥测站，全部遥测站按先后顺序向中心站发送数据。,
4.11.6,数据采集,data collection,将监测、计算或其它过程中的数据加以汇集，转换为信息并显示或打印出来的过程。,
4.11.7,数据传输,data transmission,,
4.11.8,数据巡测,data logging,由中心站发出指令，依次逐个呼叫系统内各遥测站并进行数据收集。,
4.11.9,数据召测,data interrogating,由中心站呼叫某个遥测站，发出取数指令后，收集该遥测站送来的数据。,
4.11.10,报警,alarm,当遥测站的水文参数超过警戒值或设备故障等异常情况发生时，通过事先设定的程序， 向中心站发出特定信号。,
4.11.11,通信控制机,preset communication controller,能自动接收、暂存遥测终端机或中继机传输的遥测站信息，并作预处理的数据传输控制          设备。,注：根据需要也具有数据召测、数据显示、校正时钟、变换数据传输速率、对系统设备监控以及双机；通信等功能。
4.11.12,遥测终端机,telemetry terminal meter,能自动完成水文数据的采集、存储、编码及传输控制，并通过传输信道，自动完成数据传输的仪器。,
4.11.12.1,兼容式遥测终端机,mix telemetry terminal meter,具有自报式和查询问答式两种功能的遥测终端机。,
4.11.12.2,自报式遥测终端机,self—reporting telemetry terminal meter,当被测水文参数发生额定的增减变化时，或按规定的时间间隔，能自动地按规定通过信道向中心站发送所采集的水文数据的仪器。,
4.11.12.3,应答式遥测终端机,polling—answer back telemetry terminal meter,当中心站呼叫时，能立即采集水文参数并通过信道向中心站发送水文数据的仪器。,
4.11.13,中继机,relay meter,能通过无线或有线信道，自动完成遥测数据信号或指令的接收及转发的仪器。,
4.11.13.1,模拟式中继机,analogue relay meter,对输入副载波信号只作幅度处理，然后重新发送的仪器。,
4.11.13.2,码元再生式中继机,symbol—regenerate type relay meter,将输入的副载波信号还原为数字信号，然后立即将此数字信号再转换为副载波信号重新发送的仪器。,
4.11.13.3,存贮再生式中继机,store—regenerate type relay meter,将输入的副载波信号还原为数字信号，对信号进行检错、纠错、存贮，然后重新编码发          送的仪器。,
4.11.14,水文自动测报网,hydrological data acquisition network,通过计算机的标准接口和多种信道，把若干个水文自动测报系统连接起来，进行水文数据交换的网络。,
4.11.15,人工置数装置,manual input and transmit device,能人工置入水文参数通过遥测终端机或中继机发送的设备。,
4.11.16,多功能测试仪,multifunction testing instrument,可诊断遥测终端机、中继机及前置通信控制机的工作是否正常，并查找故障部位的设备。,注：在各遥测终端机、中继机和调制解调器等设备调试时，可作为信号源或接收装置使用，也可作为；人工置数装置发送数据。
4.11.17,数据记录设备,data recording equipment,将接收到的数据以光、电、磁等形式记录下来，供计算机作事后数据处理用的设备。,
4.11.18,数据显示设备,data display equipment,将遥测接收设备所获得的数据，以可视的形式显现出来的设备。,
4.11.19,遥测数据处理专用机,special processing equipment of telemetric data,遥测数据处理专用的计算机或设备。,
4.11.20,通信,communication,通过有线或无线设施对语言、文字、图像等信息进行传输、变换和处理的过程。,
4.11.20.1,公网通信,public channel communication,利用公用有线、无线通信网作为数据传输、通信信道的通信方式。,注：常用的有 SMS、GPRS、CDMA、PSTN 通信方式。
4.11.20.2,短波通信,short wave communication,利用频率 3～30MHz（波长 100～10m）的无线电波进行的通信。,
4.11.20.3,超短波通信,ultra-short wave communication,利用频率 30～300MHz（波长 10～1m）的无线电波进行的通信。,
4.11.20.4,微波通信,microwave communication,利用频率 100MHz 以上（波长 3m 以下）的电磁波传播进行的通信。,
4.11.20.5,卫星通信,satellite communication,利用人造地球卫星作为中继站转发或反射无线电信号，在两个或多个地面站之间进行的 通信。,
4.11.21,遥测参数,telemetry parameter,水文遥测系统通过传感器进行采集和传送的被测对象的参数。,注：大致可分为模拟参数、数字参数、事件参数（开关参数）。
4.11.22,系统容量,capacity of hydrological telemetry system,,注：它等于系统路数与各路所能传递的信号频带的乘积。
4.11.23,误码率,element error ratio,接收到的错误码元数与发送出的码元总数之比。,
4.11.24,误码测试仪,code error tester,测试数字通信设备和数字通路在单位时间内所产生的误码的仪表。,
4.11.25,系统可靠性,system reliability,水文自动测报系统在规定条件下和规定时间内完成规定功能的能力。,注 1：系统可靠性依赖于组成该系统的设备的可靠性，如通信电路可靠性，水文预报模型及系统软件；；；；；；；；；；可靠性，还同系统使用、维护水平有关。；注 2：对可维修的水文遥测系统，通常用有效度 A，平均无故障工作时间 MTBF，平均修复时间 MTTR，来描述该系统的可靠性。它们之间的关系为：；A=MTBF/（MTBF+MTTR）
4.11.26,系统畅通率,ratio of system fluency,在一定时间内，中心站收到正确水文数据的遥测站数与向中心站发送了水文数据的遥测 站数的百分比。,
4.11.27,数据收集平台,data collection platform,收集各种传感器采集的测量数据，然后将它们传送至接收站的仪器。,
4.11.28,数据记录器,data logger,能够读取各种电信号，并将数据记录在内存中，以便后续通过遥测方式传输或是下载到便携计算机或存储卡上的装置。,
4.12.1,额定值,rated value,为使仪器或装置达到设计所规定的工作性能所限定的某些量值。,
4.12.2,标称值,nominal value,测量器具上表明其特性或指导其使用的量值。,注：该值为圆整值或近似值。
4.12.3,约定真值,conventional true value,对于给定目的具有适当不确定度的、赋予特定量的值，有时该值是约定采用的。,注 1：约定真值有时称为指定值、最佳估计值、约定值或参考值。；注 2：通常用某量的多次测量结果来确定约定真值。
4.12.4,测量值,measured value,采用测量仪器、测具直接对某被测量的量进行观测（测定）所得的量值。,
4.12.5,被测量,measurand,作为测量对象的特定量。,注：对被测量的详细描述，可要求包括对其他有关量（如时间、温度和压力）作出说明。
4.12.6,影响量,influence quantity,不是被测量，但对测量结果有影响的量。,
4.12.7,测量信号,measurement signal,表示被测量，并与该量有函数关系的量。,注：进入测量系统的输入信号可称为激励；而输出信号可称作响应。
4.12.8,采样周期,sampling period,使用仪器周期性地对某一被测量进行间断测量的过程中，相邻两次测量之间的时间间隔。,
4.12.9,采样频率,sampling frequency,单位时间内的采样次数。,
4.12.10,记录周期,recording period,水文仪器自动记录（存贮）被测水文参数随时间的变化过程的时间间隔。,
4.12.11,最大允许误差,maximum permissible error,对给定的测量仪器，规范、规程等所允许的误差极限值。,
4.12.12,观测误差,error of observation,测量过程中由于观测者的感觉器官的局限性等所产生的误差。,
4.12.13,测量范围,measuring range,用仪器的测量下限和测量上限表示的测量区间。,注：仪器所能测量的最大被测量（即输入量）称为测量上限，最小被测量称为测量下限。
4.12.14,量程,span,测量上限值和测量下限值的代数差。,
4.12.15,分辨力,resolution,在仪器的测量范围内，能导致可观测到的输出量变化的最小输入量变化值。,
4.12.16,鉴别力,discrimination,仪器对输入值作微小变化的响应能力。,
4.12.17,灵敏度,sensitivity,仪器输出的变化除以对应的输入变化。,
4.12.17.1,灵敏系数,sensitivity coefficient,输出结果的变化与输入参数的变化的比值。,
4.12.18,灵敏阈,sense threshold,当输入量由零变化到使输出量开始发生可观测变化，且具有稳定的相关定量关系的输入 量的最小变化值。,
4.12.18,阈值,threshold value,当输入量由零变化到使输出量开始发生可观测变化，且具有稳定的相关定量关系的输入 量的最小变化值。,
4.12.19,死区,dead band,不致引起测量仪器输出发生变化的输入双向变动的最大区间。,注 1：死区可能与变化的速率有关。；注 2：死区有时故意地做大些，以防止输入的微小变化引起输出变化。
4.12.20,计时误差,timing error,仪器的时间计量误差。,
4.12.21,温度漂移,temperature drift,温漂 由温度变化引起的仪器输出值的偏离。,注：一般以温度变化 1℃，输出最大偏差与仪器满量程输出的百分比表示。
4.12.22,时间漂移,time drift,仪器在参比工作条件下，对一个恒定不变的输入值，在规定时间内的变化值。,注：用仪器的最大漂移量与仪器满量程输出的百分比表示。
4.12.26,盲区,blanking distance,距声学换能器一定距离内的区域，以及靠近水底、岸边很近距离的区域。,注 1：在此区域内，声学换能器不能提供有效的水位、水深、流速测量数据。；注 2：应用微波、光波的相应测量仪器也可能存在同样的“盲区”。
4.12.27,现场试验,field experiment,在实际使用场合下为验证仪器或装置及其系统的安装与运行的正确性而开展的试验。,
4.12.28,室内试验,laboratory experiment,在实验室模拟条件下，为验证仪器、装置、系统运行正确性而开展的试验。,
4.12.29,比测试验,comparative t experiment,在相同的现场或室内条件下，与性能更好的其它型号仪器，或与已被确认的标准仪器进行比较的试验。,
4.12.30,测量准确度,accuracy of measurement,,注 2：不要用术语精密度代替准确度。
4.12.31,测量仪器的准确度,accuracy of measurement instrument,测量仪器给出接近于真值的响应能力。,
4.12.32,准确度等级,accuracy class,符合一定的计量要求，使误差保持在规定极限以内的测量仪器的等级、级别。,注：准确度等级通常按约定注以数字或符号，并称为等级指标。
4.12.33,测量不确定度,uncertainty of measurement,表征合理地赋予被测量的值的分散性，与测量结果相联系的参数。,注 1：此参数可以是诸如标准偏差或其倍数，或说明了置信水准的区间的半宽度。；注 2：测量不确定度由多个分量组成。其中一些分量可用测量列结果的统计分布估算，并用实验标准偏差表征。另一些分量则可用基于经验或其他信息的假定概率分布估算，也可用标准偏差表征。；注 3：测量结果应理解为被测量的值的最佳估计，而所有的不确定度分量均贡献给了分散性，包括那；些由系统效应引起的（如与修正值和参考测量标准有关的）分量。
4.12.34,仪器稳定性,instrument stability,在规定工作条件下，仪器性能在规定时间内保持不变的能力。,
4.12.35,仪器互换性,instrument interchangeability,某一产品（包括零件、部件、构件）与另一产品在尺寸上、功能上能够彼此互相替换的 性能。,
4.12.36,仪器可靠性,instrument reliability,在规定条件下和规定时间内，仪器完成规定功能的能力。,注：对使用的设备常用平均无故障工作时间表示。
4.12.37,仪器可靠度,instrument reliability,在规定条件下和规定时间内，仪器完成规定功能的概率。,
4.12.38,数据失误率,error data ratio,错误输出数据在全部输出数据中所占比例。,
4.12.39,数据有效率,effective data ratio,记录到符合要求的数据次数与规定测报数据的总数之比。,注 1：水文数据的可靠性可用数据有效率来表达。；注 2：通常以年汛期作为统计时间。
4.12.40,仪器维修性,instrument maintainability,在规定工作条件下使用的仪器，在规定时间内，按规定程序和方法进行维修时，保持或 恢复到能完成规定功能的能力。,
4.12.41,仪器维修度,instrument maintainability,在规定工作条件下使用的仪器，在规定时间内，按规定程序和方法进行维修时，保持或 恢复完成规定功能状态的概率。,
4.12.42,接收率,receiving probability,有效接收字数占总传输字数的比值，或传输数据被正确接收的概率值。,
4.12.43,失效,failure,仪器丧失规定的功能。,注：对可修复产品通常也称故障。
4.12.44,寿命,life,对不可修复产品，指发生失效前的工作时间。 对可修复产品，指相邻两故障间的工作时间，也称无故障工作时间。,
4.12.44.1,工作寿命,working life,仪器中某关键执行部件正确动作（感应）的平均极限次数。,
4.12.44.2,使用寿命,useful life,仪器在规定使用和维护条件下，具有可接受的失效率的时间区间。,
4.12.45,平均无故障工作时间,mean time between failures,MTBF 可修复产品在相邻两次故障之间工作时间的数学期望值。,
4.12.46,修复时间,repair time,从发现故障到水文仪器恢复规定功能所需的时间。,注：指故障诊断、修理准备及修理实施时间之和。
